tab-separated fields are: coordinated universal date and time (it is nearly date and time of checkout), environment id, autobuild summary, code coverage summary, space-separated list of failed/crashed tests
Note: it is normal for w2k_vc6 autobuilds to have "bad_build" code coverage summary -- vc6 just crashes with internal error trying to compile instrumented tests.
02/03/04 xx:xx:xx	w2k_icc	failed	crashed_74.1	testSetStatistics
02/03/04 xx:xx:xx	w2k_icc	crashed	not_demanded	testConditionalGaussianLearning
02/04/04 xx:xx:xx	w2k_icc	crashed	unknown	testBKInfDBN testBKInfUsingClusters testConditionalGaussianLearning testGibbsInference testMixtureGaussianLearning testMultiply testSetStatistics
02/04/04 xx:xx:xx	w2k_icc	failed	74.1	testConditionalGaussianLearning
02/06/04 xx:xx:xx	w2k_icc	bad_build	skipped	
02/06/04 13:29:14	w2k_icc	bad_build	skipped	
02/06/04 13:51:22	w2k_icc	bad_build	skipped	
02/06/04 14:39:54	w2k_icc	bad_build	skipped	
02/09/04 10:57:46	w2k_icc	failed	unknown	testConditionalGaussianLearning
02/09/04 23:20:02	w2k_vc6	crashed	crashed_0	testBKInfUsingClusters testSaveLoadEvidences
02/11/04 11:13:28	w2k_vc6	crashed	crashed_0	testSaveLoadEvidences
02/11/04 23:20:03	w2k_vc6	crashed	bad_build	testBKInfDBN
02/12/04 23:20:01	w2k_icc	crashed	unknown	testGenerateEvidences
02/13/04 14:08:13	w2k_icc	failed	unknown	testConditionalGaussianLearning
02/13/04 23:22:02	w2k_icc	unknown	crashed_57.6	
02/14/04 23:20:02	w2k_icc	crashed	unknown	testGibbsInference
02/15/04 18:41:30	lin_gcc	crashed	not_demanded	
02/15/04 23:20:02	w2k_icc	failed	crashed_57.5	testConditionalGaussianLearning
02/16/04 13:08:52	lin_gcc	crashed	unknown	testBKInfDBN
02/16/04 13:28:21	lin_gcc	crashed	unknown	testBKInfDBN testBayesLearningEngine testFactorLearningEngine testGaussianFactorLearningEngine testLearnParamDBN
02/17/04 10:37:47	lin_gcc	failed	crashed_74.8	testConditionalGaussianLearning
02/17/04 23:20:23	w2k_icc	success	unknown	
02/18/04 23:20:02	w2k_icc	bad_build	skipped	
02/19/04 11:23:04	w2k_icc	failed	74.7	testLearningCondGaussDBN
02/19/04 23:20:06	w2k_icc	crashed	unknown	testConditionalGaussianLearning
02/20/04 23:20:02	w2k_icc	success	unknown	
02/21/04 23:20:02	w2k_icc	failed	unknown	testConditionalGaussianLearning testLearningCondGaussDBN
02/22/04 23:20:01	w2k_icc	crashed	unknown	testConditionalGaussianLearning testGibbsInference testMixtureGaussianLearning
02/23/04 23:20:01	w2k_icc	crashed	75.2	testConditionalGaussianLearning testGibbsInference
02/24/04 23:20:05	w2k_icc	success	unknown	
02/25/04 23:20:05	w2k_icc	crashed	unknown	testConditionalGaussianLearning
02/26/04 23:20:04	w2k_icc	failed	unknown	testLearningCondGaussDBN
03/01/04 23:20:02	w2k_icc	crashed	unknown	testConditionalGaussianLearning
03/02/04 23:20:02	w2k_icc	failed	75.2	testLearningCondGaussDBN
03/03/04 23:20:03       w2k_icc crashed unknown unknown
03/05/04 14:07:04	w2k_vc6	crashed	bad_build	testConditionalGaussianLearning
03/05/04 23:21:10	w2k_vc6	crashed	bad_build	testConditionalGaussianLearning
03/06/04 23:20:01	w2k_vc6	failed	bad_build	testConditionalGaussianLearning testLearningCondGaussDBN
03/07/04 23:20:01	w2k_vc6	success	bad_build	
03/08/04 23:20:02	w2k_icc	crashed	crashed_44.0	test2TPFInfDBN testLearningCondGaussDBN
03/09/04 23:20:02	w2k_icc	crashed	crashed_43.8	test2TPFInfDBN
03/10/04 23:20:03	w2k_icc	crashed	unknown	
03/11/04 23:20:02	w2k_vc6	bad_build	skipped	
03/12/04 23:20:03	w2k_vc6	crashed	bad_build	test2TPFInfDBN
03/13/04 23:20:02	w2k_icc	crashed	crashed_44.0	test2TPFInfDBN
03/15/04 23:20:02	w2k_icc	crashed	crashed_44.1	test2TPFInfDBN
03/16/04 23:20:02	w2k_icc	crashed	unknown	
