node0,node1,node2,node3,node4,node5,node6
false,true,false,false,true,true,false
false,true,false,false,true,true,false
false,false,true,false,true,true,false
false,true,false,false,true,false,false
false,true,false,false,true,true,false
false,true,true,false,true,true,false
false,true,false,false,false,false,false
false,true,false,false,true,false,false
false,true,true,false,true,false,false
true,true,true,true,false,false,false
true,true,true,true,false,false,false
false,false,false,false,true,false,false
false,true,false,false,false,false,false
false,false,true,false,false,false,false
false,true,false,false,true,true,false
false,true,true,false,false,true,false
false,true,false,false,true,false,false
true,true,true,true,true,false,true
false,true,false,false,false,false,false
false,true,true,false,true,false,false
false,true,false,false,true,false,false
false,true,false,false,true,true,false
true,true,true,true,false,true,false
false,true,false,false,true,false,false
false,true,false,false,true,true,false
false,true,false,false,false,false,false
true,true,true,true,false,false,false
false,true,false,false,true,true,false
false,true,false,false,true,false,false
false,true,false,false,true,true,false
true,true,true,true,true,false,true
false,true,false,false,true,false,false
false,true,false,false,true,false,false
false,false,false,false,true,true,false
false,false,true,false,false,true,false
true,false,true,false,true,true,true
false,true,false,false,true,true,false
false,true,false,false,true,false,false
false,true,true,false,false,false,false
true,true,false,false,true,false,true
true,true,false,false,true,false,true
false,true,true,false,true,true,false
false,true,true,false,false,false,false
false,true,false,false,true,true,false
false,true,true,false,true,true,false
true,true,false,false,true,true,true
false,true,false,false,true,false,false
false,true,false,false,false,true,false
false,true,false,false,true,true,false
true,true,false,false,true,false,true
false,true,true,false,false,true,false
false,true,false,false,true,true,false
true,true,false,false,false,true,false
false,true,true,false,false,true,false
false,false,false,false,true,true,false
false,false,false,false,true,false,false
true,false,false,false,true,true,true
true,false,false,false,true,false,true
true,true,true,true,false,false,false
false,true,true,false,true,false,false
true,true,false,false,true,true,true
false,true,false,false,true,false,false
false,true,true,false,true,false,false
false,true,false,false,true,true,false
false,true,false,false,true,true,false
false,true,true,false,true,true,false
false,true,true,false,true,false,false
false,true,false,false,true,true,false
false,true,false,false,true,true,false
false,true,false,false,true,false,false
true,false,true,false,true,false,true
false,true,false,false,true,true,false
false,true,true,false,true,true,false
true,true,true,true,false,true,false
false,true,false,false,true,false,false
true,true,true,true,false,false,false
false,true,false,false,false,true,false
false,true,false,false,false,false,false
true,false,false,false,true,false,true
false,true,false,false,true,false,false
false,true,false,false,true,false,false
true,true,false,false,false,false,false
false,true,true,false,true,true,false
false,true,true,false,true,false,false
true,true,true,true,false,false,false
false,true,true,false,true,false,false
false,true,false,false,false,false,false
true,true,false,false,false,true,false
true,false,false,false,true,true,true
false,true,false,false,true,true,false
false,true,false,false,true,true,false
true,true,false,false,false,false,false
false,false,true,false,true,true,false
false,true,false,false,true,false,false
true,true,true,true,false,true,false
true,true,true,true,false,false,false
false,true,false,false,true,false,false
true,true,false,false,false,false,false
false,true,false,false,true,false,false
true,true,false,false,true,true,true
false,true,false,false,true,true,false
false,true,false,false,true,true,false
false,false,false,false,true,true,false
true,true,false,false,true,true,true
true,true,true,true,false,false,false
true,true,true,true,false,false,false
false,true,true,false,true,false,false
false,true,true,false,true,false,false
true,true,false,false,true,false,true
false,true,false,false,true,false,false
true,true,false,false,true,false,true
true,true,false,false,true,true,true
true,true,false,false,true,true,true
false,true,true,false,true,true,false
false,true,false,false,true,false,false
true,true,true,true,false,false,false
true,true,false,false,true,false,true
true,true,false,false,true,false,true
true,true,true,true,false,false,false
false,true,true,false,true,true,false
false,true,false,false,true,true,false
false,true,false,false,true,true,false
true,true,true,true,false,false,false
false,true,false,false,true,false,false
false,true,false,false,true,true,false
true,true,true,true,false,false,false
false,true,true,false,true,true,false
false,true,true,false,true,false,false
true,true,false,false,false,false,false
false,true,false,false,true,true,false
